,FID,DWR_ID,Latitude,Longitude,OID_,IN_FID,NEAR_FID,NEAR_DIST,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,OBJECTID,Shape_Leng,ID,gages,NHDWaterbo
131,212,CENCANCO,37.571664,-106.071423,212,212,968531,0.000811222181265,-106.071423,37.571664,-106.071422478,37.572475222,89.9631527772,968531,0.0634006770417,17894945, ,-9999
132,213,CENCANCO,37.571664,-106.071423,213,213,968531,0.000811222181265,-106.071423,37.571664,-106.071422478,37.572475222,89.9631527772,968531,0.0634006770417,17894945, ,-9999
133,214,FARCANCO,37.665835,-106.264478,214,214,967962,0.00467421036476,-106.264478,37.665835,-106.267038679,37.661924608,-123.218361733,967962,0.00993544585271,17894811, ,-9999
134,215,MONCANCO,37.615837,-106.222808,215,215,968764,0.00347700409585,-106.222808,37.615837,-106.220579079,37.618505608,50.1301078692,968764,0.0189670318393,17894881, ,-9999
135,216,PRADITCO,37.645554,-106.232261,216,216,968535,0.00116868672867,-106.232261,37.645554,-106.233005402,37.6446530595,-129.565232369,968535,0.00269599667476,17894843, ,-9999
136,217,PRADITCO,37.645554,-106.232261,217,217,968535,0.00116868672867,-106.232261,37.645554,-106.233005402,37.6446530595,-129.565232369,968535,0.00269599667476,17894843, ,-9999
137,218,SLVCANCO,37.576666,-106.051416,218,218,968641,5.790178365e-06,-106.051416,37.576666,-106.051413863,37.5766606187,-68.3398417555,968641,0.0783204126833,17894931, ,-9999
138,219,SOUCOLCO,37.574361,-106.753472,219,219,966540,2.338958445e-05,-106.753472,37.574361,-106.753465135,37.5743386405,-72.9324921974,966540,0.049978931905,17908201, ,-9999
139,220,ALACANCO,37.301521,-106.151415,220,220,968842,8.308256257e-05,-106.151415,37.301521,-106.151442399,37.3014425653,-109.255535385,968842,0.0158052076633,17897967, ,-9999
140,221,TERCANCO,37.332668,-106.214534,221,221,968843,1.4026977923e-05,-106.214534,37.332668,-106.214540584,37.332655614,-117.992170907,968843,0.0656677276715,17898811, ,-9999
141,222,NORDSCCO,37.298489,-105.854685,222,222,968951,0.023523336602,-105.854685,37.298489,-105.842426213,37.278412409,-58.5917183,968951,0.167872908874,17877391, ,-9999
142,223,CONMOGCO,37.053902,-106.187531,223,223,968956,9.7499126338e-05,-106.187531,37.053902,-106.187499747,37.0539943544,71.3039980621,968956,0.0251452696258,17876227, ,-9999
143,224,NORCONCO,37.102785,-106.015583,224,224,969130,0.0043028692494,-106.015583,37.102785,-106.013197879,37.099203676,-56.3368368153,969130,0.0350136344859,17875505, ,-9999
